,,,,Fitted.AA.Fstats.1.4,Fitted.AA.pvalue.1.4,Fitted.AA.Fstats.1.10,Fitted.AA.pvalue.1.10,Fitted.AA.Fstats.2.4,Fitted.AA.pvalue.2.4
0.01 0.2 path,,,,162.7096395,0,91.85179496,8.57E-281,134.6077131,0
0.01 0.9 path,,,,163.679496,0,300.5975369,0,275.2996881,0
0.01 0 path,,,,206.5914151,0,76.49290825,5.55E-240,227.420869,0
0.2 0.2 path,,,,12.88011822,2.23E-39,8.577905376,3.74E-24,16.77359029,3.59E-53
0.2 0.9 path,,,,14.14959104,6.97E-44,9.810902902,1.70E-28,14.81565702,3.03E-46
0.2 0 path,,,,24.7059249,7.99E-81,16.57210544,1.85E-52,13.74359551,1.92E-42
0.01 0.2 dmi,,,,86.30279633,2.45E-266,165.4738434,0,109.4591507,0
0.01 0.9 dmi,,,,1408.126879,0,2033.054674,0,1134.849156,0
0.01 0 dmi,,,,208.0747016,0,98.81773248,1.68E-298,154.1229577,0
0.2 0.2 dmi,,,,9.647912454,6.39E-28,6.077306136,1.72E-15,11.81619882,1.33E-35
0.2 0.9 dmi,,,,82.28766367,1.12E-255,83.11006497,7.10E-258,60.17600941,1.09E-193
0.2 0 dmi,,,,18.32956245,1.19E-58,23.98217997,2.47E-78,18.71074023,5.44E-60
,,,,,,,,,
Run,m,c,Gen,locus 1.4 F,locus 1.4 P,locus 1.10 F,locus 1.10 P,locus 2.4 F,locus 2.4 P
dmi,0.01,0,10,208.075,<0.001,98.818,<0.001,154.123,<0.001
dmi,0.01,0.2,10,86.303,<0.001,165.474,<0.001,109.459,<0.001
dmi,0.01,0.9,10,1408.127,<0.001,2033.055,<0.001,1134.849,<0.001
dmi,0.2,0,10,18.330,<0.001,23.982,<0.001,18.711,<0.001
dmi,0.2,0.2,10,9.648,<0.001,6.077,<0.001,11.816,<0.001
dmi,0.2,0.9,10,82.288,<0.001,83.110,<0.001,60.176,<0.001
path,0.01,0,10,206.591,<0.001,76.493,<0.001,227.421,<0.001
path,0.01,0.2,10,162.710,<0.001,91.852,<0.001,134.608,<0.001
path,0.01,0.9,10,163.679,<0.001,300.598,<0.001,275.300,<0.001
path,0.2,0,10,24.706,<0.001,16.572,<0.001,13.744,<0.001
path,0.2,0.2,10,12.880,<0.001,8.578,<0.001,16.774,<0.001
path,0.2,0.9,10,14.150,<0.001,9.811,<0.001,14.816,<0.001
