,,,,Fitted.Aa.Fstats.1.4,Fitted.Aa.pvalue.1.4,Fitted.Aa.Fstats.1.10,Fitted.Aa.pvalue.1.10,Fitted.Aa.Fstats.2.4,Fitted.Aa.pvalue.2.4
0.01 0.2 path,,,,117.1623308,0,125.9875808,0,97.13734421,2.84E-294
0.01 0.9 path,,,,62.89291776,1.27E-201,132.8978166,0,69.27971468,6.53E-220
0.01 0 path,,,,97.06732434,4.26E-294,45.49438614,3.94E-149,93.0900845,5.62E-284
0.2 0.2 path,,,,10.12140287,1.36E-29,9.547180516,1.45E-27,18.28629171,1.68E-58
0.2 0.9 path,,,,5.138061312,2.46E-12,3.68453963,1.16E-07,6.516014737,5.46E-17
0.2 0 path,,,,33.51465275,1.55E-110,39.62162431,1.80E-130,19.31150589,4.25E-62
0.01 0.2 dmi,,,,44.87641001,3.44E-147,60.30331084,4.62E-194,77.9502812,5.78E-244
0.01 0.9 dmi,,,,465.5338612,0,402.5747259,0,238.4666502,0
0.01 0 dmi,,,,103.1947731,0,46.57455208,1.65E-152,80.54256895,5.46E-251
0.2 0.2 dmi,,,,14.5709814,2.23E-45,22.65321526,9.64E-74,14.82070793,2.91E-46
0.2 0.9 dmi,,,,21.47901425,1.15E-69,20.72603202,4.81E-67,13.40313729,3.10E-41
0.2 0 dmi,,,,26.13491503,1.02E-85,36.29193302,1.14E-119,26.30972024,2.57E-86
,,,,,,,,,
Run,m,c,Gen,locus 1.4 F,locus 1.4 P,locus 1.10 F,locus 1.10 P,locus 2.4 F,locus 2.4 P
dmi,0.01,0,10,103.195,<0.001,46.575,<0.001,80.543,<0.001
dmi,0.01,0.2,10,44.876,<0.001,60.303,<0.001,77.950,<0.001
dmi,0.01,0.9,10,465.534,<0.001,402.575,<0.001,238.467,<0.001
dmi,0.2,0,10,26.135,<0.001,36.292,<0.001,26.310,<0.001
dmi,0.2,0.2,10,14.571,<0.001,22.653,<0.001,14.821,<0.001
dmi,0.2,0.9,10,21.479,<0.001,20.726,<0.001,13.403,<0.001
path,0.01,0,10,97.067,<0.001,45.494,<0.001,93.090,<0.001
path,0.01,0.2,10,117.162,<0.001,125.988,<0.001,97.137,<0.001
path,0.01,0.9,10,62.893,<0.001,132.898,<0.001,69.280,<0.001
path,0.2,0,10,33.515,<0.001,39.622,<0.001,19.312,<0.001
path,0.2,0.2,10,10.121,<0.001,9.547,<0.001,18.286,<0.001
path,0.2,0.9,10,5.138,<0.001,3.685,<0.001,6.516,<0.001
