partial_index,m,c,mech,rep,snp_num,N,q,sd,se,ci,index_nosnp,mean_q
0.01 0 dmi 1.1,0.01,0,dmi,1,1.1,300,0.605,0.334436580067068,0.019308704952858,0.0379981733479644,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,12,1.1,300,0.501666666666667,0.350580820822604,0.0202407931274651,0.039832457320959,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,18,1.1,300,0.581666666666667,0.359994270981294,0.0207842789257773,0.0409019991481735,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,2,1.1,300,0.431666666666667,0.362770677015886,0.0209445748029224,0.0412174501606363,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,15,1.1,300,0.616666666666667,0.331796905012905,0.0191563032425485,0.0376982575006301,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,4,1.1,300,0.606666666666667,0.359238635002534,0.0207406522622027,0.0408161449425626,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,9,1.1,300,0.353333333333333,0.337443995931458,0.019482338188745,0.0383398713444024,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,10,1.1,300,0.58,0.359207600607849,0.0207388604905901,0.0408126188620461,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,19,1.1,300,0.505,0.343318937689998,0.0198215281093217,0.0390073732525532,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,7,1.1,300,0.465,0.348827467391387,0.0201395632199152,0.0396332439824949,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,13,1.1,300,0.345,0.334936224149452,0.0193375519174043,0.0380549421453576,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,5,1.1,300,0.486666666666667,0.365514557660514,0.0211029928258025,0.0415292056879767,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,14,1.1,300,0.58,0.363833178723161,0.0210059183675934,0.0413381699815585,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,11,1.1,300,0.448333333333333,0.365525995061603,0.0211036531644622,0.0415305051880168,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,16,1.1,300,0.57,0.339830766459978,0.0196201384494585,0.0386110525658655,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,3,1.1,300,0.563333333333333,0.37163953238183,0.0214566184062156,0.0422251159594123,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,8,1.1,300,0.501666666666667,0.357664136218153,0.0206497485325026,0.0406372527958571,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,6,1.1,300,0.698333333333333,0.329432301126713,0.0190197827735265,0.037429594819207,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,17,1.1,300,0.615,0.348347748444215,0.0201118666335867,0.0395787390485272,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.1,0.01,0,dmi,20,1.1,300,0.501666666666667,0.350580820822604,0.0202407931274651,0.039832457320959,0.01 0 dmi,0.527833333333333
0.01 0 dmi 1.11,0.01,0,dmi,12,1.11,150,0.49,0.36393634667278,0.0297152782733653,0.058717781446871,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,18,1.11,150,0.473333333333333,0.356091132794101,0.0290747192425064,0.0574520283608061,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,19,1.11,150,0.503333333333333,0.349960048854413,0.0285741183350929,0.0564628343709937,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,13,1.11,150,0.363333333333333,0.337264293365631,0.0275375142402043,0.0544144910194473,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,10,1.11,150,0.486666666666667,0.379626567953557,0.0309963794763407,0.0612492543059038,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,2,1.11,150,0.483333333333333,0.349576285549155,0.02854278419243,0.0564009176921802,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,14,1.11,150,0.656666666666667,0.32324210526009,0.0263926073756744,0.0521521399679094,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,7,1.11,150,0.5,0.361763020804333,0.0295378269592824,0.0583671353118449,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,5,1.11,150,0.506666666666667,0.370862710296065,0.0302808134950327,0.0598352864973331,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,8,1.11,150,0.486666666666667,0.366127323484928,0.0298941707809663,0.0590712753992805,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,4,1.11,150,0.626666666666667,0.338703938479957,0.027655060771564,0.0546467645144057,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,11,1.11,150,0.496666666666667,0.354722060904266,0.028962934990797,0.0572311412063701,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,1,1.11,150,0.67,0.331915328412081,0.0271007730805967,0.0535514847328235,0.01 0 dmi,0.520666666666667
